name,unit,kebun,divisi
REC-070926-079,TPRM,TPRE,DIVISI 08 TPRE
REC-070926-080,TPRM,TPRE,DIVISI 08 TPRE
REC-070926-081,TPRM,TPRE,DIVISI 07 TPRE
REC-070926-082,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-031,TPRM,TPRE,DIVISI 08 TPRE
REC-080926-032,TPRM,TPRE,DIVISI 04 TPRE
REC-080926-033,TPRM,TMDE,DIVISI 01 TMDE
REC-080926-035,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-038,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-042,TPRM,TPRE,DIVISI 08 TPRE
REC-080926-049,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-052,TPRM,TPRE,DIVISI 04 TPRE
REC-080926-055,TPRM,TPRE,DIVISI 05 TPRE
REC-080926-060,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-061,TPRM,TPRE,DIVISI 08 TPRE
REC-080926-066,TPRM,TMDE,DIVISI 01 TMDE
REC-080926-067,TPRM,TPRE,DIVISI 08 TPRE
REC-080926-071,TPRM,TPRE,DIVISI 05 TPRE
REC-080926-072,TPRM,TPRE,DIVISI 04 TPRE
REC-080926-073,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-074,ASRM,ASRE,DIVISI 01 ASRE
REC-080926-075,ASRM,ASRE,DIVISI 01 ASRE
REC-080926-077,TPRM,TPRE,DIVISI 07 TPRE
REC-080926-078,TPRM,TPRE,DIVISI 04 TPRE
REC-080926-079,TPRM,TPRE,DIVISI 08 TPRE
REC-080926-080,TPRM,TPRE,DIVISI 04 TPRE
REC-080926-081,TPRM,TPRE,DIVISI 08 TPRE
REC-090926-037,TPRM,TPRE,DIVISI 06 TPRE
REC-090926-038,TPRM,TPRE,DIVISI 06 TPRE
REC-090926-039,TPRM,TPRE,DIVISI 06 TPRE
REC-090926-040,TPRM,TPRE,DIVISI 07 TPRE
REC-090926-041,TPRM,TPRE,DIVISI 04 TPRE
REC-090926-043,TPRM,TPRE,DIVISI 05 TPRE
REC-090926-045,TPRM,TPRE,DIVISI 08 TPRE
REC-090926-047,TPRM,TMDE,DIVISI 01 TMDE
REC-090926-058,TPRM,TPRE,DIVISI 04 TPRE
REC-090926-068,TPRM,TPRE,DIVISI 08 TPRE
REC-090926-070,TPRM,TPRE,DIVISI 05 TPRE
REC-090926-071,TPRM,TPRE,DIVISI 08 TPRE
REC-090926-072,TPRM,TPRE,DIVISI 05 TPRE
REC-090926-074,TPRM,TPRE,DIVISI 08 TPRE
REC-090926-077,TPRM,TPRE,DIVISI 06 TPRE
REC-090926-080,TPRM,TPRE,DIVISI 07 TPRE
REC-090926-081,TPRM,TMDE,DIVISI 01 TMDE
REC-090926-082,TPRM,TPRE,DIVISI 07 TPRE
REC-090926-083,TPRM,TPRE,DIVISI 05 TPRE
REC-090926-084,TPRM,TPRE,DIVISI 06 TPRE
REC-090926-085,TPRM,TPRE,DIVISI 08 TPRE
REC-090926-086,TPRM,TPRE,DIVISI 05 TPRE
REC-090926-087,TPRM,TPRE,DIVISI 06 TPRE
REC-090926-088,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-009,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-010,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-011,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-012,TPRM,TPRE,DIVISI 05 TPRE
REC-100926-013,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-014,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-015,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-016,TPRM,TPRE,DIVISI 04 TPRE
REC-100926-017,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-018,TPRM,TPRE,DIVISI 07 TPRE
REC-100926-019,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-020,TPRM,TPRE,DIVISI 04 TPRE
REC-100926-021,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-050,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-056,TPRM,TPRE,DIVISI 07 TPRE
REC-100926-058,ASRM,ASRE,DIVISI 02 ASRE
REC-100926-063,TPRM,TMDE,DIVISI 01 TMDE
REC-100926-071,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-073,ASRM,ASRE,DIVISI 02 ASRE
REC-100926-077,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-078,ASRM,ASRE,DIVISI 02 ASRE
REC-100926-080,TPRM,TPRE,DIVISI 07 TPRE
REC-100926-082,ASRM,ASRE,DIVISI 02 ASRE
REC-100926-084,TPRM,TPRE,DIVISI 05 TPRE
REC-100926-088,ASRM,ASRE,DIVISI 02 ASRE
REC-100926-091,ASRM,ASRE,DIVISI 01 ASRE
REC-100926-092,TPRM,TPRE,DIVISI 05 TPRE
REC-100926-093,TPRM,TPRE,DIVISI 07 TPRE
REC-100926-094,TPRM,TMDE,DIVISI 01 TMDE
REC-100926-095,ASRM,ASRE,DIVISI 01 ASRE
REC-100926-096,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-097,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-098,ASRM,ASRE,DIVISI 01 ASRE
REC-100926-099,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-100,TPRM,TPRE,DIVISI 05 TPRE
REC-100926-101,TPRM,TPRE,DIVISI 07 TPRE
REC-100926-102,TPRM,TPRE,DIVISI 08 TPRE
REC-100926-103,TPRM,TPRE,DIVISI 06 TPRE
REC-100926-104,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-031,TPRM,TPRE,DIVISI 06 TPRE
REC-110926-032,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-033,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-034,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-035,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-036,TPRM,TPRE,DIVISI 06 TPRE
REC-110926-041,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-043,TPRM,TPRE,DIVISI 08 TPRE
REC-110926-048,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-052,TPRM,TPRE,DIVISI 08 TPRE
REC-110926-053,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-054,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-056,TPRM,TPRE,DIVISI 06 TPRE
REC-110926-062,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-065,TPRM,TMDE,DIVISI 01 TMDE
REC-110926-066,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-068,TPRM,TPRE,DIVISI 05 TPRE
REC-110926-071,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-073,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-077,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-079,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-081,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-083,TPRM,TPRE,DIVISI 06 TPRE
REC-110926-084,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-085,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-086,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-087,ASRM,ASRE,DIVISI 02 ASRE
REC-110926-088,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-089,TPRM,TPRE,DIVISI 08 TPRE
REC-110926-090,TPRM,TPRE,DIVISI 05 TPRE
REC-110926-091,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-092,TPRM,TPRE,DIVISI 06 TPRE
REC-110926-093,ASRM,ASRE,DIVISI 01 ASRE
REC-110926-094,TPRM,TPRE,DIVISI 08 TPRE
REC-110926-095,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-096,TPRM,TPRE,DIVISI 07 TPRE
REC-110926-097,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-023,TPRM,TPRE,DIVISI 07 TPRE
REC-120926-029,TPRM,TPRE,DIVISI 07 TPRE
REC-120926-041,ASRM,APLE,DIVISI 01 APLE
REC-120926-042,TPRM,TMDE,DIVISI 01 TMDE
REC-120926-043,TPRM,TPRE,DIVISI 07 TPRE
REC-120926-044,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-045,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-048,ASRM,ASRE,DIVISI 01 ASRE
REC-120926-052,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-056,TPRM,TPRE,DIVISI 08 TPRE
REC-120926-058,TPRM,TPRE,DIVISI 07 TPRE
REC-120926-063,TPRM,TPRE,DIVISI 08 TPRE
REC-120926-065,ASRM,,
REC-120926-066,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-068,ASRM,,
REC-120926-070,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-075,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-083,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-084,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-087,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-089,ASRM,ASRE,DIVISI 01 ASRE
REC-120926-092,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-096,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-098,TPRM,TPRE,DIVISI 08 TPRE
REC-120926-099,ASRM,APLE,DIVISI 01 APLE
REC-120926-100,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-102,TPRM,TPRE,DIVISI 05 TPRE
REC-120926-103,ASRM,ASRE,DIVISI 01 ASRE
REC-120926-106,TPRM,TMDE,DIVISI 01 TMDE
REC-120926-108,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-111,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-118,ASRM,ASRE,DIVISI 02 ASRE
REC-120926-119,ASRM,APLE,DIVISI 01 APLE
REC-120926-120,TPRM,TPRE,DIVISI 07 TPRE
REC-120926-121,ASRM,,
REC-120926-122,ASRM,APLE,DIVISI 01 APLE
REC-120926-123,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-124,ASRM,ASRE,DIVISI 01 ASRE
REC-120926-125,TPRM,TPRE,DIVISI 08 TPRE
REC-120926-126,TPRM,TPRE,DIVISI 05 TPRE
REC-120926-127,TPRM,TPRE,DIVISI 03 TPRE
REC-120926-128,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-129,TPRM,TPRE,DIVISI 06 TPRE
REC-120926-130,TPRM,TPRE,DIVISI 08 TPRE
REC-130926-032,TPRM,TPRE,DIVISI 06 TPRE
REC-130926-033,TPRM,TPRE,DIVISI 07 TPRE
REC-130926-034,TPRM,TPRE,DIVISI 07 TPRE
REC-130926-041,ASRM,APLE,DIVISI 01 APLE
REC-130926-059,ASRM,ASRE,DIVISI 01 ASRE
REC-130926-066,TPRM,TPRE,DIVISI 06 TPRE
REC-130926-072,ASRM,ASRE,DIVISI 01 ASRE
REC-130926-080,ASRM,APLE,DIVISI 01 APLE
REC-130926-082,TPRM,TPRE,DIVISI 06 TPRE
REC-130926-087,TPRM,TPRE,DIVISI 06 TPRE
REC-130926-094,ASRM,APLE,DIVISI 01 APLE
REC-130926-098,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-057,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-058,TPRM,TPRE,DIVISI 04 TPRE
REC-140926-061,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-062,TPRM,TMDE,DIVISI 01 TMDE
REC-140926-065,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-067,TPRM,TPRE,DIVISI 08 TPRE
REC-140926-085,ASRM,APLE,DIVISI 01 APLE
REC-140926-095,TPRM,TPRE,DIVISI 04 TPRE
REC-140926-102,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-104,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-110,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-127,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-137,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-142,TPRM,TMDE,DIVISI 01 TMDE
REC-140926-148,TPRM,TPRE,DIVISI 04 TPRE
REC-140926-150,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-151,TPRM,TPRE,DIVISI 08 TPRE
REC-140926-152,ASRM,ASRE,DIVISI 01 ASRE
REC-140926-162,ASRM,APLE,DIVISI 01 APLE
REC-140926-164,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-165,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-166,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-166-1,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-167,TPRM,TPRE,DIVISI 08 TPRE
REC-140926-168,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-169,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-170,TPRM,TPRE,DIVISI 04 TPRE
REC-140926-171,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-172,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-173,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-174,TPRM,TPRE,DIVISI 08 TPRE
REC-140926-175,ASRM,ASRE,DIVISI 02 ASRE
REC-140926-176,TPRM,TPRE,DIVISI 06 TPRE
REC-140926-177,TPRM,TPRE,DIVISI 04 TPRE
REC-140926-178,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-043,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-061,TPRM,TPRE,DIVISI 04 TPRE
REC-150926-064,ASRM,ASRE,DIVISI 01 ASRE
REC-150926-065,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-066,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-067,ASRM,ASRE,DIVISI 01 ASRE
REC-150926-074,TPRM,TPRE,DIVISI 08 TPRE
REC-150926-075,TPRM,TMDE,DIVISI 01 TMDE
REC-150926-078,TPRM,TPRE,DIVISI 04 TPRE
REC-150926-081,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-087,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-088,ASRM,ASRE,DIVISI 01 ASRE
REC-150926-091,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-093,ASRM,APLE,DIVISI 01 APLE
REC-150926-107,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-108,TPRM,TPRE,DIVISI 05 TPRE
REC-150926-112,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-114,ASRM,ASRE,DIVISI 01 ASRE
REC-150926-131,ASRM,ASRE,DIVISI 01 ASRE
REC-150926-133,TPRM,TPRE,DIVISI 08 TPRE
REC-150926-135,TPRM,TPRE,DIVISI 04 TPRE
REC-150926-140,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-143,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-145,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-151,TPRM,TMDE,DIVISI 01 TMDE
REC-150926-160,ASRM,APLE,DIVISI 01 APLE
REC-150926-162,ASRM,ASRE,DIVISI 01 ASRE
REC-150926-163,TPRM,TPRE,DIVISI 05 TPRE
REC-150926-171,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-178,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-182,TPRM,TPRE,DIVISI 08 TPRE
REC-150926-183,ASRM,APLE,DIVISI 01 APLE
REC-150926-184,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-185,TPRM,TPRE,DIVISI 04 TPRE
REC-150926-186,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-187,ASRM,ASRE,DIVISI 02 ASRE
REC-150926-188,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-200,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-205,TPRM,TPRE,DIVISI 08 TPRE
REC-150926-207,TPRM,TPRE,DIVISI 06 TPRE
REC-150926-208,TPRM,TPRE,DIVISI 04 TPRE
REC-160926-034,TPRM,TPRE,DIVISI 06 TPRE
REC-160926-043,TPRM,TPRE,DIVISI 06 TPRE
REC-160926-051,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-052,ASRM,ASRE,DIVISI 02 ASRE
REC-160926-057,TPRM,TMDE,DIVISI 01 TMDE
REC-160926-058,ASRM,ASRE,DIVISI 02 ASRE
REC-160926-059,TPRM,TPRE,DIVISI 04 TPRE
REC-160926-060,TPRM,TPRE,DIVISI 06 TPRE
REC-160926-061,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-064,ASRM,ASRE,DIVISI 01 ASRE
REC-160926-070,ASRM,ASRE,DIVISI 02 ASRE
REC-160926-074,ASRM,ASRE,DIVISI 02 ASRE
REC-160926-078,ASRM,ASRE,DIVISI 01 ASRE
REC-160926-105,TPRM,TPRE,DIVISI 05 TPRE
REC-160926-115,ASRM,APLE,DIVISI 01 APLE
REC-160926-119,TPRM,TPRE,DIVISI 06 TPRE
REC-160926-121,TPRM,TPRE,DIVISI 04 TPRE
REC-160926-127,ASRM,ASRE,DIVISI 02 ASRE
REC-160926-130,ASRM,ASRE,DIVISI 01 ASRE
REC-160926-154,TPRM,TPRE,DIVISI 05 TPRE
REC-160926-162,TPRM,TMDE,DIVISI 01 TMDE
REC-160926-168,TPRM,TPRE,DIVISI 07 TPRE
REC-160926-169,ASRM,ASRE,DIVISI 01 ASRE
REC-160926-170,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-171,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-175,ASRM,ASRE,DIVISI 01 ASRE
REC-160926-179,TPRM,TPRE,DIVISI 04 TPRE
REC-160926-182,ASRM,APLE,DIVISI 01 APLE
REC-160926-184,TPRM,TPRE,DIVISI 06 TPRE
REC-160926-185,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-186,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-187,TPRM,TPRE,DIVISI 08 TPRE
REC-160926-188,TPRM,TPRE,DIVISI 06 TPRE
REC-170926-043,TPRM,TPRE,DIVISI 06 TPRE
REC-170926-049,TPRM,TPRE,DIVISI 04 TPRE
REC-170926-058,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-061,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-062,ASRM,ASRE,DIVISI 01 ASRE
REC-170926-063,ASRM,APLE,DIVISI 01 APLE
REC-170926-064,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-065,TPRM,TPRE,DIVISI 08 TPRE
REC-170926-066,TPRM,TPRE,DIVISI 06 TPRE
REC-170926-069,TPRM,TMDE,DIVISI 01 TMDE
REC-170926-070,ASRM,ASRE,DIVISI 01 ASRE
REC-170926-071,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-074,TPRM,TPRE,DIVISI 04 TPRE
REC-170926-075,TPRM,TPRE,DIVISI 08 TPRE
REC-170926-080,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-087,ASRM,APLE,DIVISI 01 APLE
REC-170926-096,ASRM,ASRE,DIVISI 01 ASRE
REC-170926-105,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-109,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-113,TPRM,TPRE,DIVISI 05 TPRE
REC-170926-114,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-124,ASRM,ASRE,DIVISI 01 ASRE
REC-170926-125,TPRM,TPRE,DIVISI 07 TPRE
REC-170926-128,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-137,TPRM,TPRE,DIVISI 04 TPRE
REC-170926-141,ASRM,ASRE,DIVISI 01 ASRE
REC-170926-143,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-144,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-148,ASRM,APLE,DIVISI 01 APLE
REC-170926-151,ASRM,APLE,DIVISI 01 APLE
REC-170926-152,TPRM,TMDE,DIVISI 01 TMDE
REC-170926-153,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-154,ASRM,ASRE,DIVISI 02 ASRE
REC-170926-155,ASRM,,
REC-170926-156,TPRM,TPRE,DIVISI 05 TPRE
REC-170926-157,TPRM,TPRE,DIVISI 08 TPRE
REC-170926-158,TPRM,TPRE,DIVISI 08 TPRE
REC-170926-159,TPRM,TMDE,DIVISI 01 TMDE
REC-170926-161,TPRM,TPRE,DIVISI 07 TPRE
REC-180926-035,TPRM,TPRE,DIVISI 07 TPRE
REC-180926-038,TPRM,TPRE,DIVISI 06 TPRE
REC-180926-040,TPRM,TPRE,DIVISI 06 TPRE
REC-180926-049,TPRM,TPRE,DIVISI 05 TPRE
REC-180926-053,TPRM,TPRE,DIVISI 08 TPRE
REC-180926-060,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-061,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-062,ASRM,ASRE,DIVISI 01 ASRE
REC-180926-064,TPRM,TPRE,DIVISI 06 TPRE
REC-180926-070,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-071,ASRM,APLE,DIVISI 01 APLE
REC-180926-072,TPRM,TMDE,DIVISI 01 TMDE
REC-180926-073,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-078,TPRM,TPRE,DIVISI 07 TPRE
REC-180926-081,ASRM,ASRE,DIVISI 01 ASRE
REC-180926-087,TPRM,TPRE,DIVISI 06 TPRE
REC-180926-089,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-092,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-097,TPRM,TPRE,DIVISI 08 TPRE
REC-180926-104,ASRM,,
REC-180926-107,ASRM,ASRE,DIVISI 01 ASRE
REC-180926-110,TPRM,TPRE,DIVISI 08 TPRE
REC-180926-111,ASRM,ASRE,DIVISI 02 ASRE
REC-180926-122,TPRM,TMDE,DIVISI 01 TMDE
